X,Y,Z
650690.380,435863.860,110.010
650689.130,435863.480,109.300
650692.430,435864.660,109.820
650689.540,435863.310,111.850
650690.510,435863.900,111.310
650689.380,435863.300,109.500
650689.350,435863.630,109.520
650689.280,435863.390,109.870
650689.230,435863.370,110.330
650689.190,435863.270,110.670
650689.230,435863.530,109.870
650692.390,435864.520,111.340
650689.560,435863.660,109.500
650689.640,435863.300,111.850
650689.210,435863.230,112.180
650689.140,435863.560,110.460
650692.510,435864.610,111.480
650689.220,435863.570,109.230
650690.700,435864.010,110.230
650690.990,435864.000,109.940
650690.890,435864.050,109.940
650689.230,435863.610,111.650
650689.400,435863.440,111.590
650689.470,435863.470,111.200
650689.930,435863.590,109.600
650689.220,435863.650,111.470
650689.620,435863.790,112.870
650689.620,435863.790,112.870
650691.850,435864.480,111.120
650689.100,435863.590,110.630
650689.870,435863.620,111.450
650689.750,435863.770,112.780
650689.280,435863.390,109.870
650690.620,435863.850,110.150
650692.270,435864.560,109.760
650689.240,435863.730,111.240
650690.980,435863.880,110.330
650689.100,435863.700,112.700
650689.130,435863.550,112.000
650689.360,435863.590,112.360
650692.000,435864.550,111.260
650689.120,435863.590,109.080
650689.180,435863.530,112.270
650689.200,435863.310,111.260
650689.180,435863.370,110.450
650692.390,435864.520,111.340
650689.100,435863.690,109.750
650689.230,435863.530,109.870
650689.190,435863.280,112.060
650691.560,435864.420,110.980
650689.540,435863.310,111.850
650689.130,435863.330,112.200
650689.280,435863.450,109.210
650689.120,435863.590,109.410
650689.220,435863.280,110.540
650689.350,435863.600,112.580
650690.580,435863.940,110.130
650689.020,435863.460,109.480
650689.440,435863.460,111.480
650689.170,435863.440,109.450
650689.310,435863.310,112.030
650691.740,435864.460,110.990
650689.940,435863.590,111.370
650690.100,435863.780,109.800
650689.570,435863.450,109.510
650691.020,435864.000,110.440
650689.180,435863.450,111.060
650689.240,435863.400,109.060
650690.510,435864.020,111.330
650689.180,435863.700,111.920
650690.070,435863.910,111.380
650693.000,435864.760,109.930
650689.190,435863.300,109.670
