imageName longitude latitude altitude Omega Phi Kappa
100_0154_0058.JPG 21.17707967 51.72068702 211.90219526 -0.79292577 -0.87385406 -9.89971742
100_0154_0059.JPG 21.17712969 51.72089958 211.87902120 -0.85749704 -0.88655140 -9.74098118
100_0154_0060.JPG 21.17718020 51.72111560 211.83551109 -0.88271635 -0.86295164 -10.38437873
100_0154_0061.JPG 21.17723072 51.72132726 211.89048605 -0.88001528 -0.86552463 -11.11236572
100_0154_0062.JPG 21.17728171 51.72154398 211.89859872 -0.89639228 -0.84819172 -11.59128410
100_0154_0063.JPG 21.17733149 51.72175777 211.92050610 -0.88009010 -0.85166977 -11.66700322
100_0154_0064.JPG 21.17738259 51.72197107 211.92411865 -0.90555691 -0.86664301 -11.93532651
100_0154_0065.JPG 21.17743437 51.72218636 211.89905672 -0.97540932 -0.87748836 -12.39202580
100_0154_0066.JPG 21.17748471 51.72240052 211.89717525 -0.98721138 -0.90434095 -12.36340549
100_0154_0067.JPG 21.17753387 51.72261322 211.81680044 -0.98526028 -0.95581752 -9.82526862
100_0154_0068.JPG 21.17758491 51.72282719 211.85052141 -1.04437326 -0.96028678 -8.62468880
100_0154_0069.JPG 21.17763663 51.72304289 211.90550983 -1.02028137 -0.92678619 -8.73051376
100_0154_0070.JPG 21.17768682 51.72325566 211.90189585 -1.00291223 -0.92532409 -8.64554731
100_0154_0071.JPG 21.17773692 51.72346955 211.86677405 -1.04053348 -0.92974809 -8.73553308
100_0154_0072.JPG 21.17778833 51.72368501 211.87186999 -1.08338615 -0.93590990 -8.59581660
100_0154_0073.JPG 21.17783937 51.72389706 211.87520412 -1.08530737 -0.88392446 -8.49589408
100_0154_0074.JPG 21.17789103 51.72411203 211.87427196 -1.12368594 -0.83524543 -8.41693506
100_0154_0075.JPG 21.17794130 51.72432518 211.88311664 -1.10591765 -0.78001944 -8.04861016
100_0154_0076.JPG 21.17799229 51.72454064 211.90031979 -1.11651066 -0.75363831 -7.68755738
100_0154_0077.JPG 21.17804211 51.72475240 211.91446845 -1.11021334 -0.71704472 -7.26128734
100_0154_0078.JPG 21.17809331 51.72496856 211.91486932 -1.10423548 -0.74939871 -7.08960502
100_0154_0079.JPG 21.17814364 51.72518150 211.88155290 -1.10150884 -0.72597323 -6.76477792
100_0154_0080.JPG 21.17819393 51.72539689 211.88252104 -1.10328211 -0.76938269 -6.19511257
100_0154_0081.JPG 21.17824490 51.72560967 211.88274352 -1.06529430 -0.75061516 -5.68454674
100_0154_0082.JPG 21.17829575 51.72582369 211.90066197 -1.04404123 -0.75827356 -5.50992412
100_0154_0083.JPG 21.17834699 51.72603758 211.89290214 -1.03062227 -0.77419941 -4.78804309
100_0154_0084.JPG 21.17839753 51.72625099 211.90441610 -1.03851470 -0.77371265 -4.64048870
100_0154_0085.JPG 21.17844859 51.72646677 211.91247308 -1.06723943 -0.73085015 -3.90651077
100_0154_0086.JPG 21.17849809 51.72667819 211.90296750 -1.04011319 -0.77926177 -3.61889011
100_0154_0087.JPG 21.17854940 51.72689433 211.93955400 -0.99070480 -0.76271452 -3.04803794
100_0154_0088.JPG 21.17859951 51.72710712 211.93481288 -0.99475639 -0.73998616 -2.40265451
100_0154_0089.JPG 21.17865119 51.72732249 211.93614919 -0.97489467 -0.72583427 -2.10840560
100_0154_0090.JPG 21.17870192 51.72753598 211.93496215 -0.97004471 -0.71535011 -1.62127494
100_0154_0091.JPG 21.17875330 51.72774970 211.92400045 -1.02596794 -0.68215268 -3.78124647
100_0154_0092.JPG 21.17880277 51.72796402 211.89970473 -1.02952883 -0.63478541 -5.20174776
100_0154_0093.JPG 21.17885215 51.72817795 211.86242689 -1.00539110 -0.62574760 -4.85905937
100_0154_0094.JPG 21.17890316 51.72839150 211.94029720 -1.05254308 -0.58177550 -4.42542702
100_0154_0095.JPG 21.17895337 51.72860472 211.91421915 -1.06462311 -0.59987413 -3.72321128
