filename,bandname,wavelength,time,sunsensor_sun_angle_degree,sunsensor_nadir_angle_degree,sun_irradiance
100_0154_0001.JPG,Red,660,1606824426.000000,,,
100_0154_0001.JPG,Green,550.000000,1606824426.000000,,,
100_0154_0001.JPG,Blue,470.000000,1606824426.000000,,,
100_0154_0002.JPG,Red,660.000000,1606824428.000000,,,
100_0154_0002.JPG,Green,550.000000,1606824428.000000,,,
100_0154_0002.JPG,Blue,470.000000,1606824428.000000,,,
100_0154_0003.JPG,Red,660.000000,1606824431.000000,,,
100_0154_0003.JPG,Green,550.000000,1606824431.000000,,,
100_0154_0003.JPG,Blue,470.000000,1606824431.000000,,,
100_0154_0004.JPG,Red,660.000000,1606824434.000000,,,
100_0154_0004.JPG,Green,550.000000,1606824434.000000,,,
100_0154_0004.JPG,Blue,470.000000,1606824434.000000,,,
100_0154_0005.JPG,Red,660.000000,1606824437.000000,,,
100_0154_0005.JPG,Green,550.000000,1606824437.000000,,,
100_0154_0005.JPG,Blue,470.000000,1606824437.000000,,,
100_0154_0006.JPG,Red,660.000000,1606824439.000000,,,
100_0154_0006.JPG,Green,550.000000,1606824439.000000,,,
100_0154_0006.JPG,Blue,470.000000,1606824439.000000,,,
100_0154_0007.JPG,Red,660.000000,1606824442.000000,,,
100_0154_0007.JPG,Green,550.000000,1606824442.000000,,,
100_0154_0007.JPG,Blue,470.000000,1606824442.000000,,,
100_0154_0008.JPG,Red,660.000000,1606824445.000000,,,
100_0154_0008.JPG,Green,550.000000,1606824445.000000,,,
100_0154_0008.JPG,Blue,470.000000,1606824445.000000,,,
100_0154_0009.JPG,Red,660.000000,1606824448.000000,,,
100_0154_0009.JPG,Green,550.000000,1606824448.000000,,,
100_0154_0009.JPG,Blue,470.000000,1606824448.000000,,,
100_0154_0010.JPG,Red,660.000000,1606824451.000000,,,
100_0154_0010.JPG,Green,550.000000,1606824451.000000,,,
100_0154_0010.JPG,Blue,470.000000,1606824451.000000,,,
100_0154_0011.JPG,Red,660.000000,1606824454.000000,,,
100_0154_0011.JPG,Green,550.000000,1606824454.000000,,,
100_0154_0011.JPG,Blue,470.000000,1606824454.000000,,,
100_0154_0012.JPG,Red,660.000000,1606824456.000000,,,
100_0154_0012.JPG,Green,550.000000,1606824456.000000,,,
100_0154_0012.JPG,Blue,470.000000,1606824456.000000,,,
100_0154_0013.JPG,Red,660.000000,1606824459.000000,,,
100_0154_0013.JPG,Green,550.000000,1606824459.000000,,,
100_0154_0013.JPG,Blue,470.000000,1606824459.000000,,,
100_0154_0014.JPG,Red,660.000000,1606824462.000000,,,
100_0154_0014.JPG,Green,550.000000,1606824462.000000,,,
100_0154_0014.JPG,Blue,470.000000,1606824462.000000,,,
100_0154_0015.JPG,Red,660.000000,1606824465.000000,,,
100_0154_0015.JPG,Green,550.000000,1606824465.000000,,,
100_0154_0015.JPG,Blue,470.000000,1606824465.000000,,,
100_0154_0016.JPG,Red,660.000000,1606824468.000000,,,
100_0154_0016.JPG,Green,550.000000,1606824468.000000,,,
100_0154_0016.JPG,Blue,470.000000,1606824468.000000,,,
100_0154_0017.JPG,Red,660.000000,1606824470.000000,,,
100_0154_0017.JPG,Green,550.000000,1606824470.000000,,,
100_0154_0017.JPG,Blue,470.000000,1606824470.000000,,,
100_0154_0018.JPG,Red,660.000000,1606824473.000000,,,
100_0154_0018.JPG,Green,550.000000,1606824473.000000,,,
100_0154_0018.JPG,Blue,470.000000,1606824473.000000,,,
100_0154_0019.JPG,Red,660.000000,1606824476.000000,,,
100_0154_0019.JPG,Green,550.000000,1606824476.000000,,,
100_0154_0019.JPG,Blue,470.000000,1606824476.000000,,,
100_0154_0020.JPG,Red,660.000000,1606824479.000000,,,
100_0154_0020.JPG,Green,550.000000,1606824479.000000,,,
100_0154_0020.JPG,Blue,470.000000,1606824479.000000,,,
100_0154_0021.JPG,Red,660.000000,1606824482.000000,,,
100_0154_0021.JPG,Green,550.000000,1606824482.000000,,,
100_0154_0021.JPG,Blue,470.000000,1606824482.000000,,,
100_0154_0022.JPG,Red,660.000000,1606824484.000000,,,
100_0154_0022.JPG,Green,550.000000,1606824484.000000,,,
100_0154_0022.JPG,Blue,470.000000,1606824484.000000,,,
100_0154_0023.JPG,Red,660.000000,1606824487.000000,,,
100_0154_0023.JPG,Green,550.000000,1606824487.000000,,,
100_0154_0023.JPG,Blue,470.000000,1606824487.000000,,,
100_0154_0024.JPG,Red,660.000000,1606824490.000000,,,
100_0154_0024.JPG,Green,550.000000,1606824490.000000,,,
100_0154_0024.JPG,Blue,470.000000,1606824490.000000,,,
100_0154_0025.JPG,Red,660.000000,1606824493.000000,,,
100_0154_0025.JPG,Green,550.000000,1606824493.000000,,,
100_0154_0025.JPG,Blue,470.000000,1606824493.000000,,,
100_0154_0026.JPG,Red,660.000000,1606824496.000000,,,
100_0154_0026.JPG,Green,550.000000,1606824496.000000,,,
100_0154_0026.JPG,Blue,470.000000,1606824496.000000,,,
100_0154_0027.JPG,Red,660.000000,1606824498.000000,,,
100_0154_0027.JPG,Green,550.000000,1606824498.000000,,,
100_0154_0027.JPG,Blue,470.000000,1606824498.000000,,,
100_0154_0028.JPG,Red,660.000000,1606824501.000000,,,
100_0154_0028.JPG,Green,550.000000,1606824501.000000,,,
100_0154_0028.JPG,Blue,470.000000,1606824501.000000,,,
100_0154_0029.JPG,Red,660.000000,1606824504.000000,,,
100_0154_0029.JPG,Green,550.000000,1606824504.000000,,,
100_0154_0029.JPG,Blue,470.000000,1606824504.000000,,,
