100_0237_0036,3,1951.5957,222.9185
100_0237_0037,3,1944.3767,1115.4119
100_0237_0038,3,1949.1671,1979.9525
100_0237_0039,3,1951.7578,2869.6736
100_0237_0069,3,1892.0512,281.8318
100_0237_0070,3,2010.6227,1143.2735
100_0237_0071,3,2099.2226,1996.08
100_0237_0072,3,2151.911,2844.7411
100_0251_0033,3,4662.254,694.6204
100_0251_0034,3,4620.8057,1563.0733
100_0251_0035,3,4566.5515,2394.0758
100_0251_0036,3,4523.0917,3200.3838
DJI_0254,3,2929.5625,346.4775
DJI_0255,3,2956.1959,947.5131
DJI_0256,3,3033.384,1970.052
DJI_0257,3,3128.337,3572.2725
100_0237_0011,2,1870.398,722.2912
100_0237_0012,2,1878.4119,1581.1466
100_0237_0013,2,1879.3278,2418.395
100_0237_0014,2,1879.0521,3252.1588
100_0237_0094,2,2082.8118,567.2627
100_0237_0095,2,2139.5449,1441.2382
100_0237_0096,2,2200.9849,2305.9504
100_0237_0097,2,2252.3242,3151.9733
100_0251_0008,2,4544.6446,394.6799
100_0251_0009,2,4531.5707,1215.5064
100_0251_0010,2,4524.9707,2057.3107
100_0251_0011,2,4528.6634,2892.0973
100_0260_0012,1,2075.0072,89.7589
100_0260_0013,1,2085.4455,968.8344
100_0260_0014,1,2092.5746,1842.9425
100_0260_0015,1,2107.9799,2696.1642
100_0260_0016,1,2106.4766,3538.0722
100_0260_0048,1,1934.3752,481.741
100_0260_0049,1,1979.6547,1341.323
100_0260_0050,1,2020.9939,2206.1911
100_0260_0051,1,2050.5188,3053.5213
100_0260_0076,1,4694.2041,581.485
100_0260_0077,1,4687.2065,1440.6025
100_0260_0078,1,4688.2396,2283.655
100_0260_0079,1,4699.8941,3113.2894
DJI_0263,1,3220.6652,1.8671
DJI_0264,1,3259.9546,124.6853
DJI_0265,1,3285.8035,263.4913
DJI_0266,1,3354.3746,427.6705
DJI_0267,1,3406.832,613.8688
DJI_0268,1,3474.9542,843.7302
DJI_0269,1,1781.3376,2242.3308
DJI_0270,1,1822.0728,2033.4682
100_0202_0044,7,1633.9896,126.3312
100_0202_0045,7,1612.603,1053.3859
100_0202_0046,7,1612.68,1984.1252
100_0202_0047,7,1591.34,2894.8826
100_0202_0057,7,2316.482,871.0708
100_0202_0058,7,2360.6447,1781.7413
100_0202_0059,7,2403.0224,2706.9122
100_0202_0060,7,2445.6638,3620.902
100_0202_0149,7,4448.985,11.9375
100_0202_0150,7,4420.7694,950.7954
100_0202_0151,7,4395.5581,1866.0279
100_0202_0152,7,4370.2603,2789.4566
DJI_0203,7,1391.2393,2065.2958
DJI_0269,7,1220.7209,161.0336
100_0154_0037,16,1345.0884,0.607
100_0154_0038,16,1299.9861,891.4236
100_0154_0039,16,1232.5027,1789.7289
100_0154_0040,16,1159.2285,2680.9554
100_0154_0041,16,1086.5456,3589.005
100_0154_0068,16,2673.3703,703.8463
100_0154_0069,16,2705.0292,1623.2695
100_0154_0070,16,2737.0875,2521.7915
100_0154_0071,16,2771.3493,3414.8175
100_0154_0145,16,4065.0871,608.6993
100_0154_0146,16,4076.2969,1536.7634
100_0154_0147,16,4077.5049,2437.3577
100_0154_0148,16,4068.7397,3339.5956
DJI_0269,16,1544.319,216.7006
100_0202_0044,6,1323.7139,610.7228
100_0202_0045,6,1306.3488,1529.3106
100_0202_0046,6,1308.2414,2449.2366
100_0202_0047,6,1282.1396,3344.5181
100_0202_0057,6,2608.9651,395.5024
100_0202_0058,6,2652.94,1298.4114
100_0202_0059,6,2694.258,2215.7506
100_0202_0060,6,2734.4259,3120.8951
100_0202_0149,6,4112.7294,496.1914
100_0202_0150,6,4084.7799,1421.6103
100_0202_0151,6,4060.206,2324.5882
100_0202_0152,6,4033.3139,3234.5266
DJI_0203,6,1699.5909,1832.1799
DJI_0204,6,1390.4988,3424.5354
DJI_0269,6,1206.7987,159.0573
100_0202_0001,5,1304.2079,547.4294
