7, 650609.34120442089624702930, 432940.47976705234032124281, 111.48266965539110628924
N1, 650510.41066973027773201466, 436339.95038358605233952403, 107.09970032835383335623
N2, 650498.01193588343448936939, 436343.42808857606723904610, 107.14722747401555125180
N3, 650804.40123176062479615211, 435562.08046114759054034948, 105.26800299416142081554
N4, 650749.77702232159208506346, 434198.68236743332818150520, 107.57306045842516084576
N5, 650747.98904315044637769461, 434029.92341482569463551044, 108.98936661977552375902
N6, 650737.22189790976699441671, 434023.92845220217714086175, 108.98095904013527501775
N7, 650605.47177133522927761078, 432883.15701346093555912375, 110.65649332231666335247
N8, 650469.32982300699222832918, 431641.52330840466311201453, 111.79376094155182386203
N9, 650457.80962295364588499069, 431630.87761761812726035714, 111.78385465570086410025
M1, 650628.97399186121765524149, 433102.08543611248023808002, 111.53362070741755474046
