100_0212_0057,N5,2871.9488,3077.7435
100_0212_0057,N6,2540.6608,3330.5622
100_0212_0061,N4,2122.5722,590.5959
100_0212_0062,N4,2145.9118,1403.0796
100_0212_0063,N4,2163.7034,2268.3269
100_0212_0064,N4,2190.9437,3069.8930
100_0220_0084,N4,4329.6347,182.6446
100_0220_0085,N4,4426.9271,946.5436
100_0220_0086,N4,4468.7381,1741.3906
100_0220_0087,N4,4476.4542,2494.8675
100_0220_0088,N4,4439.3493,3271.0090
100_0220_0091,N5,3832.1011,133.0782
100_0220_0092,N5,3881.9830,907.6988
100_0220_0092,N6,4186.1180,676.8056
100_0220_0093,N5,3921.6762,1763.8574
100_0220_0093,N6,4238.3062,1504.3398
100_0220_0094,N5,3925.5653,2037.5707
100_0220_0094,N6,4241.7474,1768.0855
DJI_0223,N4,2701.3451,1713.0497
DJI_0224,N4,2711.8436,2760.4923
100_0237_0001,N1,1274.9346,1457.8969
100_0237_0001,N2,1611.1272,1741.4496
100_0237_0002,N1,1274.0971,1819.5379
100_0237_0002,N2,1616.4209,2109.8946
100_0237_0003,N1,1276.6449,2428.2484
100_0237_0003,N2,1625.0849,2717.7067
100_0237_0004,N1,1307.0296,3172.5243
100_0237_0004,N2,1654.1617,3444.9837
100_0237_0036,N3,1796.0025,318.9938
100_0237_0037,N3,1752.6785,1133.1008
100_0237_0038,N3,1748.2564,1975.3669
100_0237_0039,N3,1771.0408,2835.7217
100_0237_0040,N3,1813.4955,3590.1092
100_0237_0069,N3,2142.7305,335.0899
100_0237_0070,N3,2235.0369,1130.6308
100_0237_0071,N3,2317.1641,1979.7933
100_0237_0072,N3,2375.7901,2814.7116
100_0237_0073,N3,2445.5205,3577.8611
100_0237_0104,N1,2727.6635,589.0316
100_0237_0104,N2,2345.0097,350.8801
100_0237_0105,N1,2783.6949,1445.0763
100_0237_0105,N2,2387.8041,1182.1062
100_0237_0106,N1,2821.1302,2039.1840
100_0237_0106,N2,2429.4542,1765.0876
100_0237_0107,N2,2709.2905,2303.1697
100_0237_0108,N2,2842.5271,3037.3440
100_0237_0109,N1,3510.9621,2761.9789
100_0237_0109,N2,3426.4163,3192.3628
100_0237_0110,N1,3925.6762,2074.7458
100_0237_0110,N2,4245.3287,2356.4623
100_0237_0111,N1,3908.8984,2713.5232
100_0237_0111,N2,4226.0806,2952.6586
100_0251_0001,N1,3727.9881,3429.7518
100_0251_0032,N3,4280.4718,46.5918
100_0251_0033,N3,4327.9575,764.4471
100_0251_0034,N3,4327.8641,1561.7693
100_0251_0035,N3,4275.4530,2352.6210
100_0251_0036,N3,4198.2863,3091.5755
DJI_0256,N3,3194.5119,1965.1306
DJI_0257,N3,3316.8801,3459.5652
100_0260_0029,N1,1325.8309,503.3079
100_0260_0029,N2,1641.8807,729.8795
100_0260_0030,N1,1303.2959,1288.4213
100_0260_0030,N2,1634.4555,1554.4712
100_0260_0031,N1,2266.7668,527.5631
