100_0154_0001.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
100_0154_0115.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0336064, -0.103103, 0.58923, 0.00244479, 0.00749278, -0.00588873
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.101354, -0.0168576, 0.0338878, -0.00314248, 0.293142, 0.0119584
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0111479, 0.0178494, -0.00541164, 0.321096, -0.00853837, 0.0126572
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0189995, 0.0272177, -0.186711, 0.0132565, 0.00594729, -0.00232215
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0167681, -0.00603254, 0.0651539, -0.0105042, -0.00556501, 0.00101317
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0141209, 0.00254566, -0.0375837, 0.00727149, 0.00518189, -9.73406e-05
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00477522, -0.0317741, -0.0322884, 0.17765, -0.00675813, -0.0121749
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0172906, 0.0279831, -0.0496906, -0.0131454, 0.17234, 0.00930382
0.0336064, -0.101354, -0.0111479, -0.0189995, 0.0167681, -0.0141209, 0.00477522, 0.0172906, 1, 0.0160101, -0.0130042, -0.0468075, 0.529531, -0.0524901
-0.103103, -0.0168576, 0.0178494, 0.0272177, -0.00603254, 0.00254566, -0.0317741, 0.0279831, 0.0160101, 1, -0.0696227, -0.526136, -0.0260073, -0.0336556
0.58923, 0.0338878, -0.00541164, -0.186711, 0.0651539, -0.0375837, -0.0322884, -0.0496906, -0.0130042, -0.0696227, 1, 0.00594687, -0.115028, -0.020329
0.00244479, -0.00314248, 0.321096, 0.0132565, -0.0105042, 0.00727149, 0.17765, -0.0131454, -0.0468075, -0.526136, 0.00594687, 1, -0.0337109, -0.272647
0.00749278, 0.293142, -0.00853837, 0.00594729, -0.00556501, 0.00518189, -0.00675813, 0.17234, 0.529531, -0.0260073, -0.115028, -0.0337109, 1, 0.0821314
-0.00588873, 0.0119584, 0.0126572, -0.00232215, 0.00101317, -9.73406e-05, -0.0121749, 0.00930382, -0.0524901, -0.0336556, -0.020329, -0.272647, 0.0821314, 1
100_0154_0116.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0437945, -0.138123, 0.65303, -0.00692075, 0.00815809, -0.00692968
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.128556, -0.0229204, 0.0357404, -0.00519418, 0.315112, 0.023974
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0145964, 0.0200209, -0.00958414, 0.341072, -0.00594326, 0.016674
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0261941, 0.0360246, -0.213863, 0.0155858, 0.00429503, 0.000321822
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0231578, -0.00725926, 0.0797645, -0.0118328, -0.0044882, -0.00110367
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0197324, 0.00247784, -0.0491679, 0.00837344, 0.00448891, 0.00164197
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00663942, -0.0411305, -0.0403065, 0.183186, -0.0103537, -0.00313325
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0204246, 0.0377184, -0.0532246, -0.00966753, 0.182868, 0.0145969
0.0437945, -0.128556, -0.0145964, -0.0261941, 0.0231578, -0.0197324, 0.00663942, 0.0204246, 1, 0.024507, 0.00646019, -0.0135196, 0.357702, -0.0660605
-0.138123, -0.0229204, 0.0200209, 0.0360246, -0.00725926, 0.00247784, -0.0411305, 0.0377184, 0.024507, 1, -0.103597, -0.344826, -0.0152559, -0.0198364
0.65303, 0.0357404, -0.00958414, -0.213863, 0.0797645, -0.0491679, -0.0403065, -0.0532246, 0.00646019, -0.103597, 1, 0.00715366, -0.075326, -0.0252359
-0.00692075, -0.00519418, 0.341072, 0.0155858, -0.0118328, 0.00837344, 0.183186, -0.00966753, -0.0135196, -0.344826, 0.00715366, 1, 0.00506317, -0.298178
0.00815809, 0.315112, -0.00594326, 0.00429503, -0.0044882, 0.00448891, -0.0103537, 0.182868, 0.357702, -0.0152559, -0.075326, 0.00506317, 1, 0.00756216
-0.00692968, 0.023974, 0.016674, 0.000321822, -0.00110367, 0.00164197, -0.00313325, 0.0145969, -0.0660605, -0.0198364, -0.0252359, -0.298178, 0.00756216, 1
100_0154_0117.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.043866, -0.139688, 0.663718, -0.0147187, 0.00708592, -0.00656203
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.129556, -0.0231812, 0.0360095, -0.00424637, 0.321449, 0.0172299
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0146969, 0.0203532, -0.0139208, 0.338845, -0.00264668, 0.0204735
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0250705, 0.036931, -0.215737, 0.0109756, 0.0080994, 0.00374367
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0217168, -0.00803319, 0.0789531, -0.00617343, -0.00918461, -0.00415759
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.018078, 0.00314965, -0.0475535, 0.0031911, 0.00956389, 0.00490707
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00684007, -0.0420652, -0.0405036, 0.180792, -0.0107947, 0.00154105
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0215209, 0.0379963, -0.0556446, -0.00506847, 0.188409, 0.0158563
0.043866, -0.129556, -0.0146969, -0.0250705, 0.0217168, -0.018078, 0.00684007, 0.0215209, 1, 0.0258644, 0.00839866, -0.015859, 0.334637, -0.0752194
-0.139688, -0.0231812, 0.0203532, 0.036931, -0.00803319, 0.00314965, -0.0420652, 0.0379963, 0.0258644, 1, -0.0962842, -0.311456, -0.0165759, -0.0292584
0.663718, 0.0360095, -0.0139208, -0.215737, 0.0789531, -0.0475535, -0.0405036, -0.0556446, 0.00839866, -0.0962842, 1, -0.0432014, -0.0840783, -0.0118261
-0.0147187, -0.00424637, 0.338845, 0.0109756, -0.00617343, 0.0031911, 0.180792, -0.00506847, -0.015859, -0.311456, -0.0432014, 1, 0.00980027, -0.300847
0.00708592, 0.321449, -0.00264668, 0.0080994, -0.00918461, 0.00956389, -0.0107947, 0.188409, 0.334637, -0.0165759, -0.0840783, 0.00980027, 1, 0.025199
-0.00656203, 0.0172299, 0.0204735, 0.00374367, -0.00415759, 0.00490707, 0.00154105, 0.0158563, -0.0752194, -0.0292584, -0.0118261, -0.300847, 0.025199, 1
100_0154_0118.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0429319, -0.137517, 0.663604, -0.0201817, 0.00663478, -0.00626507
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.12843, -0.022614, 0.0361871, -0.00189997, 0.323368, 0.012209
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0141422, 0.0207971, -0.0136706, 0.327335, 0.000117551, 0.0224097
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0255, 0.036045, -0.213833, 0.00997537, 0.00707924, 0.0053217
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0226837, -0.00765296, 0.076975, -0.00483947, -0.00752948, -0.00570821
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0194761, 0.00293764, -0.0457014, 0.00216296, 0.00740672, 0.00652398
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00684168, -0.0404914, -0.0378173, 0.174149, -0.0112113, 0.00502551
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0200201, 0.0376788, -0.0524035, -0.00219288, 0.189654, 0.0128798
0.0429319, -0.12843, -0.0141422, -0.0255, 0.0226837, -0.0194761, 0.00684168, 0.0200201, 1, 0.0253868, -0.00160773, -0.0142437, 0.328263, -0.0705401
-0.137517, -0.022614, 0.0207971, 0.036045, -0.00765296, 0.00293764, -0.0404914, 0.0376788, 0.0253868, 1, -0.0914899, -0.299471, -0.0292358, -0.0330682
0.663604, 0.0361871, -0.0136706, -0.213833, 0.076975, -0.0457014, -0.0378173, -0.0524035, -0.00160773, -0.0914899, 1, -0.0522029, -0.105381, -0.00890536
-0.0201817, -0.00189997, 0.327335, 0.00997537, -0.00483947, 0.00216296, 0.174149, -0.00219288, -0.0142437, -0.299471, -0.0522029, 1, 0.03305, -0.319392
0.00663478, 0.323368, 0.000117551, 0.00707924, -0.00752948, 0.00740672, -0.0112113, 0.189654, 0.328263, -0.0292358, -0.105381, 0.03305, 1, 0.00902275
-0.00626507, 0.012209, 0.0224097, 0.0053217, -0.00570821, 0.00652398, 0.00502551, 0.0128798, -0.0705401, -0.0330682, -0.00890536, -0.319392, 0.00902275, 1
100_0154_0119.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0412124, -0.131859, 0.651882, -0.0235565, 0.00603497, -0.00595587
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.122825, -0.0219359, 0.0354172, -0.00145207, 0.31927, 0.00265384
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0140076, 0.0193712, -0.0157255, 0.308007, 0.00298666, 0.0235685
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0239337, 0.0346338, -0.211983, 0.0118102, 0.00884448, 0.00325307
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0210575, -0.00739657, 0.0771668, -0.00672239, -0.0100523, -0.00285226
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0178519, 0.00280447, -0.0459465, 0.00443867, 0.0104883, 0.00333092
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00687463, -0.0392679, -0.0346454, 0.161817, -0.0102884, 0.00724295
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0200011, 0.0356821, -0.0517812, 0.000301309, 0.187916, 0.00967413
0.0412124, -0.122825, -0.0140076, -0.0239337, 0.0210575, -0.0178519, 0.00687463, 0.0200011, 1, 0.0255366, -0.00182722, -0.0220068, 0.328998, -0.0602659
-0.131859, -0.0219359, 0.0193712, 0.0346338, -0.00739657, 0.00280447, -0.0392679, 0.0356821, 0.0255366, 1, -0.0767644, -0.314866, -0.0348291, -0.0343499
0.651882, 0.0354172, -0.0157255, -0.211983, 0.0771668, -0.0459465, -0.0346454, -0.0517812, -0.00182722, -0.0767644, 1, -0.0721942, -0.124955, -0.0122531
-0.0235565, -0.00145207, 0.308007, 0.0118102, -0.00672239, 0.00443867, 0.161817, 0.000301309, -0.0220068, -0.314866, -0.0721942, 1, 0.0334046, -0.334761
0.00603497, 0.31927, 0.00298666, 0.00884448, -0.0100523, 0.0104883, -0.0102884, 0.187916, 0.328998, -0.0348291, -0.124955, 0.0334046, 1, 0.0384378
-0.00595587, 0.00265384, 0.0235685, 0.00325307, -0.00285226, 0.00333092, 0.00724295, 0.00967413, -0.0602659, -0.0343499, -0.0122531, -0.334761, 0.0384378, 1
100_0154_0120.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0398167, -0.128182, 0.651069, -0.0247549, 0.00621551, -0.00675686
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.119493, -0.0209058, 0.0326774, -0.00102001, 0.318332, -0.00715919
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0131902, 0.0195075, -0.0163067, 0.29986, 0.00349394, 0.0236405
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0233023, 0.0339456, -0.21476, 0.00845392, 0.0100957, 0.00589261
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0207184, -0.00751392, 0.0811582, -0.00383794, -0.011665, -0.00492134
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0175944, 0.00282386, -0.0501251, 0.00276687, 0.0122277, 0.0046952
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00738059, -0.0397939, -0.0328988, 0.158299, -0.00803761, 0.00933066
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0217502, 0.0333526, -0.0542724, 0.00621573, 0.190101, 0.00488968
0.0398167, -0.119493, -0.0131902, -0.0233023, 0.0207184, -0.0175944, 0.00738059, 0.0217502, 1, 0.0274179, -0.00847542, -0.0332338, 0.332946, -0.0584107
-0.128182, -0.0209058, 0.0195075, 0.0339456, -0.00751392, 0.00282386, -0.0397939, 0.0333526, 0.0274179, 1, -0.0680412, -0.316151, -0.0292493, -0.0416773
0.651069, 0.0326774, -0.0163067, -0.21476, 0.0811582, -0.0501251, -0.0328988, -0.0542724, -0.00847542, -0.0680412, 1, -0.100454, -0.148518, 0.00495501
-0.0247549, -0.00102001, 0.29986, 0.00845392, -0.00383794, 0.00276687, 0.158299, 0.00621573, -0.0332338, -0.316151, -0.100454, 1, 0.00498002, -0.363989
0.00621551, 0.318332, 0.00349394, 0.0100957, -0.011665, 0.0122277, -0.00803761, 0.190101, 0.332946, -0.0292493, -0.148518, 0.00498002, 1, 0.0808431
-0.00675686, -0.00715919, 0.0236405, 0.00589261, -0.00492134, 0.0046952, 0.00933066, 0.00488968, -0.0584107, -0.0416773, 0.00495501, -0.363989, 0.0808431, 1
100_0154_0121.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.03943, -0.12538, 0.646072, -0.0242515, 0.00747212, -0.00723465
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.117898, -0.0206398, 0.0323888, 0.00154816, 0.315113, -0.0075435
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.013442, 0.018544, -0.0124088, 0.291238, 0.00349679, 0.0225329
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0231003, 0.0337428, -0.210322, 0.0067277, 0.0102267, 0.00688117
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0205178, -0.0081661, 0.0772362, -0.00210186, -0.0118234, -0.00637089
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0174208, 0.00377909, -0.0462855, 0.00149315, 0.0122629, 0.00572461
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00770565, -0.0391492, -0.0329751, 0.154053, -0.00547741, 0.0103627
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.01888, 0.0332291, -0.052337, 0.0117736, 0.184998, -0.00019302
0.03943, -0.117898, -0.013442, -0.0231003, 0.0205178, -0.0174208, 0.00770565, 0.01888, 1, 0.0270184, -0.00947275, -0.0520245, 0.343697, -0.0378124
-0.12538, -0.0206398, 0.018544, 0.0337428, -0.0081661, 0.00377909, -0.0391492, 0.0332291, 0.0270184, 1, -0.0719118, -0.313582, -0.0360813, -0.054843
0.646072, 0.0323888, -0.0124088, -0.210322, 0.0772362, -0.0462855, -0.0329751, -0.052337, -0.00947275, -0.0719118, 1, -0.0352356, -0.155008, -0.0191418
-0.0242515, 0.00154816, 0.291238, 0.0067277, -0.00210186, 0.00149315, 0.154053, 0.0117736, -0.0520245, -0.313582, -0.0352356, 1, -0.0339649, -0.371574
0.00747212, 0.315113, 0.00349679, 0.0102267, -0.0118234, 0.0122629, -0.00547741, 0.184998, 0.343697, -0.0360813, -0.155008, -0.0339649, 1, 0.0883387
-0.00723465, -0.0075435, 0.0225329, 0.00688117, -0.00637089, 0.00572461, 0.0103627, -0.00019302, -0.0378124, -0.054843, -0.0191418, -0.371574, 0.0883387, 1
100_0154_0122.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0430937, -0.13823, 0.650659, -0.0253703, 0.00762807, -0.00717569
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.128302, -0.0230476, 0.0313906, 0.00226497, 0.318953, 9.17748e-05
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0148185, 0.019374, -0.0116847, 0.292565, 0.0046843, 0.0255824
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0249694, 0.035931, -0.213721, 0.0109046, 0.0119103, 0.00397865
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0219409, -0.00737874, 0.0804011, -0.00710751, -0.0135723, -0.00326655
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0186077, 0.0027005, -0.0495934, 0.00653846, 0.0137227, 0.00290917
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00753431, -0.0416138, -0.0361929, 0.151366, -0.00404277, 0.0165841
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0195639, 0.0370365, -0.0506976, 0.0164353, 0.184614, -0.000599838
0.0430937, -0.128302, -0.0148185, -0.0249694, 0.0219409, -0.0186077, 0.00753431, 0.0195639, 1, 0.0272975, 0.00706592, -0.0349672, 0.267555, -0.0299083
-0.13823, -0.0230476, 0.019374, 0.035931, -0.00737874, 0.0027005, -0.0416138, 0.0370365, 0.0272975, 1, -0.0934975, -0.260208, -0.0357391, -0.0356181
0.650659, 0.0313906, -0.0116847, -0.213721, 0.0804011, -0.0495934, -0.0361929, -0.0506976, 0.00706592, -0.0934975, 1, 0.0116137, -0.137025, -0.0113609
-0.0253703, 0.00226497, 0.292565, 0.0109046, -0.00710751, 0.00653846, 0.151366, 0.0164353, -0.0349672, -0.260208, 0.0116137, 1, -0.0378948, -0.354509
0.00762807, 0.318953, 0.0046843, 0.0119103, -0.0135723, 0.0137227, -0.00404277, 0.184614, 0.267555, -0.0357391, -0.137025, -0.0378948, 1, 0.041042
-0.00717569, 9.17748e-05, 0.0255824, 0.00397865, -0.00326655, 0.00290917, 0.0165841, -0.000599838, -0.0299083, -0.0356181, -0.0113609, -0.354509, 0.041042, 1
100_0154_0123.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0431932, -0.139883, 0.651745, -0.0253077, 0.00636594, -0.00688695
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.12919, -0.0231361, 0.034466, 0.0071977, 0.314016, 0.00072017
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.015101, 0.0190175, -0.0162366, 0.297535, 0.0088485, 0.0255693
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0243538, 0.0374086, -0.212691, 0.00853319, 0.0133795, 0.0029815
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0210417, -0.00877316, 0.0784097, -0.00517331, -0.0151864, -0.00129303
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0174044, 0.00408432, -0.0472834, 0.00485582, 0.0157464, 0.00112815
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00636802, -0.0419736, -0.0378342, 0.153782, -0.00276241, 0.0183491
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0208111, 0.0379922, -0.0518392, 0.0189095, 0.182357, 3.12168e-05
0.0431932, -0.12919, -0.015101, -0.0243538, 0.0210417, -0.0174044, 0.00636802, 0.0208111, 1, 0.0268812, 0.00611581, -0.0273679, 0.249311, -0.0320407
-0.139883, -0.0231361, 0.0190175, 0.0374086, -0.00877316, 0.00408432, -0.0419736, 0.0379922, 0.0268812, 1, -0.0949654, -0.263567, -0.0462432, -0.0269668
0.651745, 0.034466, -0.0162366, -0.212691, 0.0784097, -0.0472834, -0.0378342, -0.0518392, 0.00611581, -0.0949654, 1, -0.0265555, -0.138223, 0.0071396
-0.0253077, 0.0071977, 0.297535, 0.00853319, -0.00517331, 0.00485582, 0.153782, 0.0189095, -0.0273679, -0.263567, -0.0265555, 1, -0.00946668, -0.322609
0.00636594, 0.314016, 0.0088485, 0.0133795, -0.0151864, 0.0157464, -0.00276241, 0.182357, 0.249311, -0.0462432, -0.138223, -0.00946668, 1, 0.0144468
-0.00688695, 0.00072017, 0.0255693, 0.0029815, -0.00129303, 0.00112815, 0.0183491, 3.12168e-05, -0.0320407, -0.0269668, 0.0071396, -0.322609, 0.0144468, 1
100_0154_0124.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0426785, -0.136983, 0.653151, -0.0243211, 0.00639492, -0.00561489
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.126826, -0.0227614, 0.0340587, 0.0104939, 0.311392, -0.00562559
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.014736, 0.0193722, -0.0172513, 0.295873, 0.0105868, 0.018025
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0265307, 0.035176, -0.213777, 0.0107308, 0.00929109, 0.000714867
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0240725, -0.00669657, 0.0792185, -0.008918, -0.00935686, 0.00221867
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0210297, 0.00186596, -0.0480292, 0.00937633, 0.0087961, -0.00273361
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.0063131, -0.0409386, -0.0356929, 0.155652, -0.000348961, 0.0131274
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0205781, 0.0379662, -0.053015, 0.0210643, 0.178605, -0.00704635
0.0426785, -0.126826, -0.014736, -0.0265307, 0.0240725, -0.0210297, 0.0063131, 0.0205781, 1, 0.0257657, 0.00444569, -0.0262639, 0.25396, -0.0340956
-0.136983, -0.0227614, 0.0193722, 0.035176, -0.00669657, 0.00186596, -0.0409386, 0.0379662, 0.0257657, 1, -0.0845815, -0.270988, -0.0509548, -0.0289081
0.653151, 0.0340587, -0.0172513, -0.213777, 0.0792185, -0.0480292, -0.0356929, -0.053015, 0.00444569, -0.0845815, 1, -0.0705333, -0.135343, 0.0140277
-0.0243211, 0.0104939, 0.295873, 0.0107308, -0.008918, 0.00937633, 0.155652, 0.0210643, -0.0262639, -0.270988, -0.0705333, 1, -0.00673535, -0.345062
0.00639492, 0.311392, 0.0105868, 0.00929109, -0.00935686, 0.0087961, -0.000348961, 0.178605, 0.25396, -0.0509548, -0.135343, -0.00673535, 1, 0.0456784
-0.00561489, -0.00562559, 0.018025, 0.000714867, 0.00221867, -0.00273361, 0.0131274, -0.00704635, -0.0340956, -0.0289081, 0.0140277, -0.345062, 0.0456784, 1
100_0154_0125.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0434695, -0.139659, 0.645688, -0.022775, 0.00664139, -0.00504066
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.128962, -0.023379, 0.0320667, 0.0111851, 0.306544, -0.00945467
