x,y,z,sx,sy,sz
650735.69,434126.64,108.23,0.0230,0.0211,0.0445
650705.96,434197.95,133.88,0.4513,0.2045,0.5991
650706.26,434157.85,127.73,0.2157,0.0754,0.3105
650822.65,434120.38,131.43,0.0843,0.0445,0.1191
650730.27,434110.99,108.44,0.0200,0.0196,0.0593
650735.77,434115.16,108.11,0.0172,0.0151,0.0361
650821.09,434310.47,125.57,0.3568,1.8396,0.6045
650730.17,434195.85,129.97,0.1806,0.1260,0.4228
650825.27,434139.13,126.80,0.3351,0.1895,0.4345
650701.63,434170.53,128.80,0.4409,0.0926,0.5793
650677.10,434141.69,127.96,0.0574,0.0270,0.1002
650808.23,434138.87,129.34,0.1315,0.0682,0.1998
650746.09,434138.22,107.96,0.0167,0.0163,0.0387
650822.98,434185.81,127.36,0.3730,0.1140,0.5043
650734.16,434209.29,127.66,0.1692,0.2018,0.4600
650732.12,434121.78,108.45,0.0242,0.0162,0.0511
650707.83,434187.88,128.71,0.0324,0.0379,0.1338
650805.57,434194.24,126.91,0.5009,0.2445,0.9307
650702.59,434165.39,128.52,0.0504,0.0386,0.0886
650704.94,434165.05,128.24,0.1112,0.0906,0.2550
650762.92,434125.46,107.37,0.0250,0.0259,0.0760
650701.97,434183.26,128.69,0.3576,0.0820,0.4726
650723.64,434152.80,128.82,0.1747,0.1109,0.3508
650802.17,434173.87,107.87,0.1138,0.0336,0.2781
650760.28,434099.68,107.73,0.0349,0.0313,0.0754
650837.84,434159.28,108.18,0.1315,0.0553,0.2074
650735.36,434110.20,108.21,0.0212,0.0225,0.0504
650742.28,434100.18,107.78,0.0174,0.0162,0.0460
650853.57,434164.81,125.79,0.0880,0.0396,0.1300
650647.26,434229.83,129.84,0.7116,0.9550,0.4454
650703.27,434139.69,129.57,0.9844,0.8200,1.3562
650763.87,434111.13,109.13,0.0186,0.0165,0.0426
650700.55,434147.61,128.69,0.1856,0.0697,0.2549
650724.97,434151.11,128.57,0.1415,0.0835,0.3050
650803.98,434155.79,108.22,0.0829,0.0318,0.1423
650800.94,434119.05,129.46,0.0899,0.0723,0.1677
650818.48,434173.79,108.25,0.1711,0.0740,0.2880
650743.21,434120.07,107.86,0.0272,0.0172,0.0521
650709.56,434129.76,127.66,0.0753,0.0533,0.1637
650773.67,434113.19,108.85,0.0801,0.1657,0.4403
650737.42,434102.66,108.34,0.0258,0.0270,0.0732
650796.71,434135.21,128.62,0.0428,0.0926,0.1868
650735.42,434116.08,108.17,0.0152,0.0130,0.0308
650680.36,434147.36,128.42,0.3086,0.1624,0.5628
650740.76,434118.57,107.99,0.0198,0.0197,0.0434
650721.46,434160.25,128.09,0.2594,0.1197,0.4922
650658.46,434155.14,127.94,0.3350,0.0870,0.4159
650744.06,434115.41,107.60,0.0145,0.0134,0.0372
650718.95,434132.41,128.59,0.2510,0.1363,0.4827
650726.24,434145.19,127.65,0.3093,0.1168,0.7210
650775.80,434172.65,108.22,0.0324,0.0301,0.0867
650845.78,434217.61,85.72,0.2060,0.1123,0.4435
650684.22,434173.72,128.12,0.2059,0.0671,0.4096
650655.90,434159.86,127.61,0.6845,0.1451,0.8211
650689.81,434191.50,129.42,0.0690,0.0501,0.1552
650701.45,434145.16,129.69,0.0608,0.0438,0.1318
650857.80,434406.15,129.72,0.3449,0.3176,0.2523
650728.63,434185.61,128.82,0.0670,0.0779,0.1655
650672.20,434546.53,128.95,0.6210,1.9153,0.6390
650598.77,432385.23,129.96,0.0512,0.0494,0.1235
650613.23,432388.65,129.61,0.2006,0.0979,0.3454
650590.75,432346.74,128.89,0.1499,0.0965,0.3023
650607.46,432390.61,128.58,0.3378,0.1358,0.4965
650503.17,432358.25,129.18,0.2389,0.0778,0.4034
650454.58,432381.74,125.93,0.1498,0.0724,0.2132
650522.33,432343.79,110.33,0.0358,0.0427,0.1526
650448.80,432391.80,125.38,0.1454,0.0782,0.1905
650472.79,432368.76,124.91,0.1937,0.0943,0.3854
650465.86,432377.18,125.59,0.1273,0.0615,0.2179
650457.10,432395.12,124.18,0.0924,0.0532,0.1347
650451.65,432352.69,125.44,0.1762,0.0617,0.2432
650544.67,432387.71,109.92,0.0243,0.0218,0.0445
650454.38,432363.80,124.13,0.2972,0.1005,0.4336
650568.32,432377.22,111.39,0.0388,0.0287,0.0675
650561.18,432383.23,110.37,0.0405,0.0273,0.0712
650525.45,432367.38,111.25,0.0483,0.0468,0.1647
650516.96,432401.29,122.50,0.0754,0.1520,0.3022
650571.64,432401.69,109.37,0.1411,0.1082,0.3052
650537.59,432408.07,110.30,0.0258,0.0237,0.0478
650565.48,432402.79,110.26,0.0249,0.0225,0.0445
650553.85,432355.53,110.72,0.0274,0.0276,0.0608
650537.23,432390.17,110.65,0.0272,0.0236,0.0528
650572.74,432345.24,126.94,0.0802,0.0420,0.1640
650619.33,432290.43,130.42,0.1722,0.0611,0.3470
650534.07,432400.45,110.76,0.0317,0.0282,0.0651
650533.03,432374.05,110.62,0.0304,0.0253,0.0593
650559.80,432400.93,110.24,0.0256,0.0238,0.0497
650512.50,432332.80,110.59,0.0840,0.0368,0.1342
650504.75,432395.44,125.66,0.0474,0.0295,0.0819
650594.68,432399.10,125.95,0.0464,0.0650,0.1262
650607.74,432369.82,131.65,0.1171,0.0592,0.2291
650472.92,432361.14,122.16,0.2069,0.0445,0.2342
650499.17,432376.34,129.29,0.1943,0.0582,0.3038
650485.80,432383.78,123.02,0.7230,0.2074,0.9761
650485.02,432346.76,127.00,0.2119,0.0862,0.2681
650520.65,432392.69,111.38,0.1308,0.1049,0.3982
650512.44,432315.85,125.64,0.4971,0.4069,1.1495
650594.05,432309.03,126.86,0.2802,0.2273,0.5098
650594.86,432362.06,128.79,0.1533,0.0625,0.2682
650489.81,432319.20,127.29,0.3907,0.1821,0.5599
650616.33,432358.97,131.53,0.1039,0.0618,0.1660
650616.00,432309.04,130.41,0.2041,0.1151,0.3172
650611.56,432365.92,131.75,0.1834,0.0679,0.2308
650493.24,432324.91,125.43,0.1486,0.0639,0.2274
650606.02,432358.18,131.79,0.4129,0.1254,0.5964
650570.01,432330.30,110.25,0.0556,0.0912,0.2343
650613.10,432382.73,130.80,0.0996,0.0560,0.1933
650575.74,432361.04,110.38,0.0421,0.0377,0.0972
650605.06,432313.89,129.43,0.3001,0.2715,0.6525
650541.47,432381.19,110.55,0.0347,0.0324,0.0713
650505.32,432354.81,131.96,0.2820,0.1049,0.5107
650559.13,432384.73,110.10,0.0291,0.0277,0.0806
650613.30,432388.62,129.51,0.2630,0.0875,0.3514
650567.99,432375.89,111.58,0.0548,0.0497,0.1674
650581.82,432369.27,128.34,0.0806,0.0573,0.1949
650581.98,432381.14,128.28,0.1261,0.0732,0.3033
650546.40,432403.26,109.86,0.0243,0.0226,0.0458
650544.32,432405.83,110.24,0.0381,0.0371,0.0894
650568.84,432379.71,110.59,0.0605,0.0517,0.1419
650560.74,432398.06,110.23,0.0283,0.0267,0.0640
650516.93,432294.92,109.07,0.0850,0.1626,0.3883
650593.40,432354.90,130.51,0.1095,0.0834,0.3422
650501.16,432324.95,124.85,0.1987,0.1294,0.5649
650540.41,432401.93,110.28,0.0242,0.0230,0.0461
650568.99,432309.20,124.04,0.1431,0.1445,0.6614
650488.60,432323.41,127.18,0.1731,0.0937,0.6340
650510.70,432294.50,129.41,0.7705,0.1444,0.9046
650584.94,432343.39,127.72,0.1288,0.1124,0.4370
650600.74,432354.78,131.04,0.0641,0.0513,0.1377
650502.76,432349.88,130.16,0.1781,0.0516,0.3101
650563.92,432353.00,110.14,0.0402,0.0387,0.0973
650500.91,432336.98,128.50,0.1731,0.0533,0.2963
650579.02,432315.46,127.10,0.0735,0.0696,0.1845
650554.39,432322.68,110.12,0.0336,0.0397,0.0917
650611.33,432308.04,129.87,0.2843,0.1778,0.3681
650519.18,432375.85,111.22,0.0607,0.0428,0.1144
650559.62,432379.57,110.32,0.0299,0.0287,0.0712
650516.87,432329.28,110.36,0.0984,0.0563,0.2931
650594.63,432321.48,130.65,0.1351,0.0982,0.2840
650514.13,432323.15,110.30,0.2789,0.1510,0.5921
650605.96,432372.86,132.11,0.0476,0.0383,0.0797
650537.25,432351.38,110.20,0.0325,0.0272,0.0697
650540.60,432356.60,109.99,0.0295,0.0284,0.0677
650543.36,432375.88,109.96,0.0263,0.0235,0.0500
650597.72,432348.59,132.42,0.1653,0.0762,0.2619
650571.79,432357.97,110.18,0.0450,0.0322,0.1420
650571.29,432331.89,109.86,0.0748,0.0446,0.1387
650578.57,432364.00,125.89,0.0935,0.0492,0.1417
650608.16,432331.62,130.46,0.0931,0.0536,0.1523
650576.89,432365.52,124.49,0.0839,0.0381,0.1403
650567.90,432312.03,121.51,0.0618,0.0650,0.1302
650533.82,432379.35,110.61,0.0371,0.0437,0.0953
650507.94,432335.95,128.23,0.0304,0.0392,0.1833
650518.31,432371.40,110.47,0.0479,0.0328,0.1078
650519.67,432366.75,110.52,0.0609,0.0416,0.1471
650577.93,432357.92,125.27,0.0367,0.0296,0.0774
650627.73,432285.44,130.42,0.1208,0.1035,0.2121
650649.10,432317.80,128.90,0.2925,0.0638,0.3666
650582.74,432357.44,126.40,0.0569,0.1657,0.4085
650650.50,432324.31,127.93,0.2159,0.0463,0.2673
650641.47,432291.92,129.63,0.4921,0.2876,0.6944
650633.83,432343.84,131.63,0.1072,0.0503,0.1644
650581.18,432329.47,130.27,0.0848,0.0909,0.5450
650595.18,432344.96,132.35,0.0507,0.0425,0.1063
650607.09,432304.08,129.83,0.0813,0.0407,0.2270
650543.30,432374.34,109.90,0.0266,0.0239,0.0487
650533.23,432370.50,110.89,0.0313,0.0282,0.0611
650521.84,432379.34,110.52,0.1157,0.1115,0.2727
650518.06,432368.87,110.63,0.0501,0.0309,0.0784
650467.26,432358.02,124.56,0.1249,0.0957,0.2524
650625.08,432336.95,130.68,0.1185,0.0560,0.2191
650516.13,432349.31,111.72,0.1473,0.0494,0.2073
650626.16,432323.16,130.74,0.1753,0.0947,0.3194
650608.79,432342.53,133.13,0.1025,0.0720,0.2651
650608.25,432331.22,131.32,0.0952,0.0657,0.2508
650517.96,432366.61,111.16,0.1149,0.0606,0.1671
650536.16,432323.65,110.29,0.0841,0.0408,0.1623
650624.42,432334.67,130.90,0.2304,0.1094,0.4354
650566.39,432364.08,109.95,0.0257,0.0240,0.0522
650653.43,432339.44,129.01,0.4171,0.1149,0.4944
650537.34,432343.95,110.18,0.0685,0.0501,0.1636
650555.52,432362.73,110.57,0.0393,0.0386,0.1021
650590.73,432331.08,130.64,0.1053,0.0998,0.3069
650589.08,432321.55,128.47,0.0948,0.0691,0.2044
650570.36,432338.58,110.27,0.0388,0.0423,0.1684
650574.75,432301.44,128.78,0.0456,0.0673,0.1818
650573.65,432293.91,128.98,0.0319,0.0435,0.1019
650632.42,432263.16,130.40,0.1939,0.1425,0.2997
650532.95,432286.63,110.11,0.0498,0.0531,0.1468
650569.81,432298.49,125.39,0.0834,0.0529,0.1515
650591.27,432315.34,129.07,0.0754,0.0718,0.2884
650538.73,432341.80,110.14,0.0534,0.0528,0.1580
650553.86,432355.56,110.68,0.0317,0.0410,0.0992
650481.72,432304.74,122.81,0.1968,0.1504,0.6081
650604.72,432289.62,130.93,0.0769,0.0508,0.1940
650600.52,432322.70,130.11,0.0394,0.0333,0.1114
650509.81,432298.21,128.32,0.0571,0.1424,0.3996
650618.41,432273.05,131.08,0.1044,0.0618,0.1782
650611.91,432320.19,130.31,0.1078,0.0784,0.2022
650565.74,432333.01,110.17,0.0522,0.0772,0.2584
650565.86,432356.31,109.84,0.0515,0.0599,0.1507
650592.38,432319.42,128.61,0.0517,0.0525,0.1516
650612.20,432292.35,130.26,0.4443,0.2034,0.5421
650592.72,432280.80,128.48,0.1831,0.1462,0.3141
650593.56,432291.55,128.66,0.1319,0.0830,0.2211
650503.69,432302.63,122.33,0.0695,0.1256,0.4890
650597.71,432319.96,129.07,0.0802,0.0751,0.2248
650586.32,432309.20,125.73,0.1775,0.0758,0.3626
650501.08,432339.41,127.08,0.5366,0.2587,0.9973
650513.32,432328.05,110.05,0.0746,0.0339,0.2120
650604.36,432321.88,130.10,0.4487,0.0936,0.6188
650559.11,432281.30,110.56,0.0613,0.1272,0.3272
650478.57,432297.96,128.14,0.1777,0.0663,0.2197
650587.39,432330.27,130.68,0.3054,0.1078,0.5766
650493.39,432293.57,127.16,0.2276,0.1320,0.3617
650566.74,432316.56,110.34,0.0687,0.0376,0.2723
650576.00,432317.67,127.60,0.1634,0.0654,0.4226
650515.72,432336.03,111.07,0.1314,0.0798,0.4083
650594.35,432339.62,129.87,0.1753,0.0746,0.2890
650509.21,432342.60,130.03,0.2257,0.1438,0.4858
650616.93,432291.35,129.70,0.1081,0.0781,0.2250
650586.51,432339.45,129.78,0.0693,0.0615,0.1567
650491.34,432311.88,124.15,0.4287,0.1194,0.6826
650557.79,432334.47,110.08,0.0248,0.0228,0.0549
650539.29,432358.70,110.24,0.0373,0.0385,0.0882
650477.57,432348.69,124.33,0.0853,0.0695,0.2219
650510.63,432342.16,110.39,0.1088,0.0577,0.1500
650614.65,432327.88,130.47,0.1687,0.0655,0.2343
650513.86,432330.12,110.00,0.1526,0.1142,0.2322
650490.47,432345.21,129.88,0.2006,0.2074,0.7693
650608.05,432344.30,131.39,0.1653,0.0610,0.2129
650626.22,432314.86,132.12,0.2015,0.0870,0.3440
650572.52,432321.09,129.16,0.0535,0.0920,0.2989
650637.45,432295.93,129.28,0.2013,0.0837,0.2886
650508.77,432350.71,130.52,0.0925,0.2351,0.6519
650523.73,432348.33,110.35,0.0575,0.0447,0.1551
650549.00,432338.09,111.13,0.0326,0.0292,0.0729
650505.17,432327.17,124.65,0.0576,0.0566,0.3903
650617.58,432310.41,130.42,0.1048,0.0564,0.2139
650632.13,432299.09,130.18,0.1910,0.0859,0.2976
650532.65,432349.54,110.23,0.0681,0.0684,0.2118
650556.45,432341.66,110.18,0.0360,0.0341,0.0766
650450.55,432344.21,125.65,0.1701,0.1026,0.2493
650447.38,432372.33,123.55,0.5818,0.4627,0.8381
650529.30,432355.98,110.54,0.0256,0.0226,0.0416
650491.83,432267.26,128.38,0.0388,0.0368,0.1781
650579.09,432337.66,127.83,0.1864,0.1028,0.3456
650474.42,432321.79,123.03,0.1243,0.0468,0.1958
650450.14,432325.49,127.33,0.2022,0.0740,0.2796
650567.64,432313.49,120.98,0.2505,0.1329,0.3835
650507.67,432290.71,125.52,0.0393,0.0523,0.2399
650454.55,432254.92,129.62,0.2377,0.1206,0.3962
650563.42,432266.45,118.39,0.3330,0.4204,0.8710
650466.75,432264.07,110.77,0.1502,0.0692,0.3978
650555.80,432340.25,110.39,0.0248,0.0222,0.0442
650468.83,432251.58,129.48,0.1867,0.1403,0.4318
650450.28,432337.94,125.23,0.1479,0.0531,0.2070
650556.54,432343.75,110.50,0.0318,0.0298,0.0645
650516.62,432322.34,110.15,0.0319,0.0367,0.1288
650570.53,432318.53,124.28,0.1363,0.0585,0.1913
650560.68,432344.86,110.21,0.0268,0.0239,0.0475
650447.23,432279.89,127.93,0.1101,0.0344,0.1595
650531.79,432350.39,110.21,0.0260,0.0227,0.0432
650454.38,432328.46,126.98,0.1397,0.0534,0.2062
650452.16,432349.61,124.95,0.1545,0.0625,0.2235
650570.99,432278.76,127.31,0.3400,0.0643,0.4191
650567.12,432301.61,121.92,0.4043,0.1738,0.5612
650523.78,432344.96,110.11,0.0427,0.0400,0.1464
650526.21,432357.13,110.39,0.0256,0.0246,0.0586
650488.41,432357.51,128.47,0.0623,0.0533,0.1505
650533.83,432358.22,110.47,0.0274,0.0237,0.0489
650446.07,432257.68,129.73,0.2437,0.0888,0.3493
650442.20,432267.49,129.04,0.2947,0.0687,0.4007
650462.85,432347.99,124.67,0.1285,0.0622,0.2228
650556.00,432350.00,112.75,0.0230,0.0199,0.0387
650573.15,432315.79,125.99,0.2853,0.1154,0.4537
650559.73,432340.96,109.98,0.0303,0.0276,0.0607
650504.55,432303.58,123.10,0.1193,0.3030,0.8882
650528.60,432359.87,110.58,0.0288,0.0279,0.0692
650571.22,432355.70,109.94,0.0410,0.0274,0.0788
650526.01,432350.12,109.87,0.0394,0.0365,0.0971
650573.56,432329.88,127.36,0.0829,0.0365,0.1294
650560.58,432358.39,110.45,0.0250,0.0220,0.0418
650496.91,432309.71,122.99,0.0591,0.1576,0.3879
650488.84,432300.71,126.08,0.0444,0.0592,0.1885
650468.74,432304.95,122.34,0.1190,0.1142,0.2956
650445.94,432321.27,126.07,0.5023,0.4143,0.7536
650483.84,432269.45,127.53,0.0458,0.0312,0.1586
650599.79,432294.02,130.28,0.1001,0.0995,0.2507
650527.14,432325.45,110.19,0.0492,0.0431,0.1062
650497.84,432280.75,122.19,0.0774,0.0784,0.5146
650605.33,432261.56,129.22,0.0601,0.0317,0.1053
650511.45,432278.04,110.00,0.0326,0.0331,0.1351
650472.35,432289.88,109.98,0.0921,0.0432,0.2583
650457.77,432288.78,125.11,0.1484,0.0528,0.2599
650439.95,432297.19,126.56,0.2270,0.0767,0.2938
650474.48,432323.00,122.54,0.3064,0.2304,0.8267
650436.99,432333.42,125.47,0.6123,0.3063,0.7683
650494.92,432330.73,127.95,0.0763,0.1486,0.3984
650564.66,432258.52,121.05,0.6390,0.4535,0.9722
650567.20,432286.52,121.31,0.2551,0.0806,0.3569
650436.19,432285.91,129.28,0.2646,0.0782,0.3172
650594.19,432298.42,127.95,0.1808,0.1244,0.3318
650522.48,432331.73,110.14,0.0278,0.0245,0.0520
650456.37,432288.10,125.79,0.1360,0.0561,0.2292
650492.86,432270.84,110.22,0.0336,0.0354,0.1233
650452.17,432293.78,126.13,0.1364,0.0529,0.2119
650607.32,432310.55,131.17,0.2413,0.1503,0.4121
650558.81,432258.39,110.67,0.0372,0.0554,0.1667
650593.11,432267.10,129.63,0.1530,0.0891,0.2422
650608.53,432313.69,129.24,0.5722,0.1960,0.7146
650474.01,432274.26,128.32,0.3243,0.1229,0.3906
650490.84,432327.42,128.68,0.1603,0.1000,0.2504
650584.59,432318.38,126.75,0.1619,0.0903,0.3197
650493.19,432312.99,122.81,0.1245,0.0539,0.2155
650492.22,432327.63,128.79,0.2144,0.1359,0.3447
650600.63,432294.32,130.32,0.0903,0.0520,0.1979
650589.03,432291.99,127.67,0.4110,0.1100,0.7296
650529.06,432333.95,110.22,0.0286,0.0278,0.0622
650554.40,432322.67,110.09,0.0364,0.0341,0.0915
650574.35,432299.65,127.90,0.1741,0.0690,0.4334
650572.06,432271.78,126.98,0.1786,0.1492,0.4808
650600.65,432273.27,129.62,0.4207,0.1775,0.5908
650589.34,432274.86,128.22,0.2262,0.1097,0.3949
650570.01,432290.47,126.85,0.1192,0.0983,0.3179
650597.48,432319.96,129.38,0.2246,0.0870,0.3375
650488.34,432275.91,125.73,0.1265,0.0526,0.1944
650493.89,432293.75,127.04,0.1100,0.0911,0.5517
650498.74,432325.41,122.74,0.0728,0.1318,0.4695
650552.17,432327.14,110.32,0.0588,0.0873,0.2356
650560.89,432267.92,112.75,0.2599,0.1169,0.4354
650612.25,432281.54,129.97,0.1220,0.0519,0.2141
650459.76,432284.91,123.52,0.1828,0.0767,0.3414
650598.52,432278.87,132.45,0.0986,0.0725,0.2331
650531.60,432326.60,110.02,0.0450,0.0768,0.2051
650446.55,432302.99,127.11,0.1831,0.0810,0.2600
650534.01,432308.89,110.40,0.0298,0.0293,0.0686
650454.29,432300.60,125.45,0.1598,0.0697,0.2601
650455.47,432315.82,127.31,0.1626,0.1110,0.2677
650528.99,432323.65,110.56,0.0320,0.0284,0.0601
650554.98,432312.81,110.05,0.0247,0.0221,0.0413
650534.42,432316.83,110.51,0.0325,0.0341,0.0774
650602.36,432201.11,130.61,0.1960,0.1721,0.4966
650487.47,432276.52,127.84,0.0954,0.0710,0.1993
650498.31,432308.20,123.34,0.0697,0.0671,0.2843
650568.85,432287.18,126.25,0.0792,0.0397,0.1042
650559.52,432270.98,109.69,0.1248,0.0973,0.2285
650485.12,432313.27,126.07,0.1321,0.0917,0.3893
650452.26,432332.35,125.71,0.2436,0.1218,0.3704
650446.18,432312.60,128.04,0.2428,0.0794,0.3264
650554.07,432321.44,110.07,0.0318,0.0288,0.0674
650515.53,432307.20,110.14,0.0289,0.0285,0.1141
650562.95,432292.91,111.72,0.3402,0.1657,0.5866
650568.78,432327.24,109.85,0.0869,0.0383,0.1358
650518.71,432312.31,110.16,0.0327,0.0351,0.0954
650526.09,432333.23,110.11,0.0301,0.0275,0.0587
650518.78,432328.56,110.42,0.0381,0.0374,0.1211
650569.93,432296.72,126.31,0.0634,0.0391,0.0971
650493.52,432288.62,125.06,0.1469,0.1147,0.4544
650502.44,432267.64,126.04,0.0707,0.0648,0.2336
650552.52,432297.66,110.23,0.0423,0.0406,0.0856
650566.68,432291.68,122.18,0.0758,0.0465,0.1309
650565.76,432252.07,128.53,0.1316,0.0660,0.2082
650575.46,432283.60,127.67,0.0821,0.0381,0.1832
650598.22,432291.24,127.51,0.2137,0.0847,0.3058
650488.15,432248.92,128.47,0.2296,0.1110,0.3640
650521.84,432295.72,110.32,0.0347,0.0335,0.0880
650624.17,432242.12,127.28,0.2623,0.1025,0.4186
650507.78,432290.76,125.84,0.0978,0.0629,0.2423
650499.39,432248.47,110.62,0.0499,0.0483,0.1323
650489.09,432266.14,128.48,0.4087,0.1062,0.6593
650587.95,432245.44,130.11,0.3478,0.2025,0.5818
650485.59,432295.05,125.00,0.1980,0.0960,0.3110
650600.49,432290.44,130.82,0.1259,0.0471,0.1662
650497.66,432301.68,123.14,0.2076,0.1490,0.4210
650520.17,432294.86,110.04,0.0277,0.0262,0.0675
650567.12,432245.72,126.08,0.0570,0.0904,0.3700
650600.35,432258.27,131.18,0.4291,0.1271,0.5694
650622.90,432209.76,131.19,0.5111,0.2030,0.8016
650503.02,432230.29,113.95,0.1822,0.0372,0.2545
650485.60,432312.53,126.08,0.1158,0.0856,0.1771
650588.37,432247.94,130.52,0.1514,0.0793,0.2480
650541.64,432236.88,110.73,0.0373,0.0470,0.1105
650493.87,432242.39,130.23,0.1627,0.1056,0.2821
650453.92,432278.40,110.35,0.3144,0.0554,0.3695
650569.61,432299.40,125.38,0.0957,0.0874,0.2594
650528.36,432307.30,110.42,0.0372,0.0301,0.0939
650564.69,432246.18,127.74,0.1481,0.1510,0.4562
650589.05,432270.64,127.83,0.1193,0.0868,0.2314
650570.42,432288.35,127.50,0.1274,0.0788,0.3090
650599.10,432244.09,130.40,0.1791,0.0852,0.2431
650464.88,432282.40,123.12,0.1677,0.0417,0.1965
650599.12,432277.68,131.13,0.2173,0.0527,0.2936
650567.62,432285.16,126.08,0.0749,0.0476,0.2091
650511.85,432293.87,126.91,0.0617,0.0464,0.1647
650594.83,432277.64,131.20,0.2467,0.0602,0.3592
650570.55,432266.40,126.67,0.0989,0.0697,0.2410
650575.99,432219.05,130.48,0.0888,0.1069,0.5765
650626.52,432225.77,132.39,0.1388,0.0375,0.1975
650640.76,432229.02,131.40,0.5018,0.0950,0.5871
650525.07,432289.47,110.53,0.0327,0.0295,0.0657
650546.90,432278.93,110.33,0.0263,0.0246,0.0523
650547.27,432294.21,110.22,0.0298,0.0277,0.0633
650523.13,432299.43,110.61,0.0292,0.0238,0.0478
650549.16,432190.72,110.74,0.0713,0.0998,0.2733
650552.76,432299.81,110.18,0.0264,0.0235,0.0487
650634.97,432241.97,130.63,0.2409,0.0780,0.3082
650532.66,432302.61,110.55,0.0260,0.0238,0.0452
650594.11,432217.83,131.81,0.1889,0.1152,0.6103
650552.16,432296.55,110.10,0.0332,0.0359,0.0751
650631.96,432190.71,130.33,0.3392,0.2036,0.4584
650564.08,432218.67,127.40,0.1663,0.1586,0.9666
650565.22,432201.36,127.71,0.1448,0.2795,0.9014
650610.56,432189.73,130.23,0.2116,0.1910,0.4318
650502.52,432211.32,128.30,0.3016,0.0778,0.3617
650594.06,432205.66,131.27,0.2421,0.2366,0.7942
650629.45,432202.75,130.18,0.1913,0.0713,0.2573
650567.62,432248.07,130.25,0.0861,0.0914,0.3472
650631.99,432219.78,131.19,0.1618,0.0755,0.2164
650619.42,432220.56,129.69,0.3001,0.1548,0.5080
650579.03,432265.13,129.03,0.0350,0.0282,0.0735
650603.63,432216.31,131.98,0.1776,0.2038,0.4634
650606.16,432231.81,133.34,0.0875,0.0560,0.2023
650592.83,432218.86,132.19,0.0708,0.1137,0.2618
650637.13,432264.47,131.38,0.4259,0.1357,0.5476
650624.12,432221.77,132.25,0.2894,0.1708,0.4604
650543.02,432261.62,110.61,0.0779,0.0554,0.2160
650508.35,432266.85,123.49,0.1481,0.0510,0.1944
650528.08,432303.71,110.39,0.0275,0.0242,0.0469
650531.22,432275.30,110.38,0.0633,0.0425,0.1445
650631.15,432257.70,131.49,0.2984,0.0799,0.4216
650534.56,432309.90,110.57,0.0325,0.0278,0.0622
650573.38,432249.32,129.39,0.1381,0.0813,0.2904
650598.92,432242.53,130.89,0.1159,0.0717,0.2101
650551.92,432221.10,110.66,0.0292,0.0313,0.0860
650506.29,432238.51,126.77,0.1695,0.0422,0.2084
650623.39,432225.35,131.06,0.4026,0.2259,0.6623
650627.81,432214.65,131.42,0.3258,0.2313,0.4918
650580.67,432237.15,130.83,0.0456,0.0404,0.0980
650569.89,432236.64,128.86,0.0376,0.0465,0.2217
650584.18,432257.96,126.96,0.0735,0.0775,0.4044
650572.51,432239.45,130.11,0.0957,0.0682,0.2009
650569.40,432232.91,128.05,0.0554,0.0841,0.3402
650573.32,432234.87,130.87,0.0630,0.0577,0.1776
650606.44,432221.15,131.67,0.1913,0.1498,0.2885
650575.14,432272.74,131.38,0.0701,0.1512,0.4732
650575.93,432269.11,130.99,0.0752,0.1341,0.5084
650627.32,432267.47,131.49,0.2802,0.1146,0.4239
650602.03,432192.10,130.35,0.2068,0.1450,0.3475
650493.11,432261.70,110.48,0.1199,0.0489,0.1477
650549.95,432282.16,110.34,0.0386,0.0403,0.1204
650490.64,432246.75,111.28,0.2027,0.0346,0.2404
650556.04,432258.23,110.59,0.0599,0.0599,0.1524
650530.39,432271.65,110.29,0.0329,0.0271,0.0662
650496.93,432282.32,124.77,0.1099,0.0481,0.1990
650552.84,432223.30,110.60,0.0321,0.0334,0.0821
650612.09,432247.29,131.59,0.1510,0.0981,0.3080
650633.38,432243.99,131.34,0.3354,0.1518,0.4637
650585.91,432246.05,128.95,0.1040,0.0558,0.2250
650597.63,432270.29,131.98,0.0813,0.0640,0.2266
650606.92,432263.24,130.40,0.1043,0.0611,0.2368
650554.31,432250.79,110.56,0.0297,0.0316,0.0972
650599.81,432258.27,132.19,0.1162,0.0794,0.3082
650832.08,434643.89,106.85,0.0340,0.0276,0.0638
650503.25,432272.37,126.66,0.1782,0.1579,0.6434
650586.98,432252.51,132.66,0.2424,0.1596,0.5383
650432.97,432170.41,-32.25,0.3724,0.3083,0.8399
650491.75,432266.29,128.75,0.0773,0.0398,0.1233
650475.61,432276.90,127.42,0.1410,0.0682,0.1896
650557.29,432269.81,110.95,0.1208,0.1274,0.5173
650500.98,432250.15,110.85,0.0793,0.0316,0.2038
650470.14,432246.79,129.37,0.4082,0.0769,0.5006
650588.68,432272.87,129.28,0.1280,0.0704,0.1994
650483.78,432244.10,132.08,0.4123,0.0981,0.6101
650469.64,432225.49,129.71,0.4621,0.1663,0.5627
650595.41,432207.75,132.92,0.2982,0.2095,0.4008
650496.97,432219.25,130.03,0.1822,0.1365,0.3588
650479.09,432258.18,130.08,0.2695,0.0799,0.3768
650493.10,432222.66,129.16,0.2738,0.1536,0.5059
650600.28,432264.25,132.77,0.1260,0.0438,0.1551
650470.61,432236.62,130.08,0.8489,0.1929,1.0456
650485.71,432275.94,127.82,0.3026,0.1791,0.4876
