imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
100_0154_0001.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650428.423358, 431642.265479, 212.006223, 650428.410840, 431642.276768, 211.985639, 0.013655, 0.013655, 0.029970, 0.758221, 0.524553, 170.898189, 0.007760, 0.007417, 0.014182, 0.006026, 0.005222, 0.008841, 0.999999
100_0154_0002.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650428.027532, 431636.876179, 211.966924, 650428.017194, 431636.887206, 211.950458, 0.013645, 0.013645, 0.030310, 0.530325, 0.667141, 173.178941, 0.007756, 0.007400, 0.014003, 0.005912, 0.005238, 0.008493, 0.999999
100_0154_0003.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650426.206038, 431622.763207, 211.942556, 650426.191439, 431622.773113, 211.918937, 0.013585, 0.013585, 0.030240, 0.400560, 0.771499, 173.388539, 0.007738, 0.007378, 0.014098, 0.005770, 0.005499, 0.008322, 0.999999
100_0154_0004.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650423.392227, 431600.557505, 211.890037, 650423.382877, 431600.569143, 211.855125, 0.013960, 0.013960, 0.030440, 0.250830, 0.768953, 173.065092, 0.007835, 0.007489, 0.013961, 0.005544, 0.006088, 0.007412, 0.999999
100_0154_0005.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650420.964841, 431576.561174, 211.869020, 650420.952205, 431576.571501, 211.851268, 0.013840, 0.013840, 0.030330, 0.106981, 0.809133, 173.453061, 0.007857, 0.007483, 0.014730, 0.006485, 0.006708, 0.009285, 0.999999
100_0154_0006.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650418.208127, 431552.958381, 211.897407, 650418.194947, 431552.968988, 211.877405, 0.013800, 0.013800, 0.030300, -0.089841, 0.872829, 173.917300, 0.007853, 0.007465, 0.014686, 0.006745, 0.007009, 0.008926, 0.999999
100_0154_0007.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650415.438006, 431528.873557, 211.898947, 650415.427116, 431528.884015, 211.861533, 0.014030, 0.014030, 0.030770, -0.221249, 0.904080, 173.933986, 0.007930, 0.007546, 0.015035, 0.007379, 0.007412, 0.009584, 0.999999
100_0154_0008.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650412.786902, 431505.023989, 211.898237, 650412.775053, 431505.034305, 211.872663, 0.013710, 0.013710, 0.030300, -0.312383, 0.917886, 173.987582, 0.007836, 0.007455, 0.015437, 0.008206, 0.007787, 0.010826, 0.999999
100_0154_0009.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650409.940700, 431480.999420, 211.911281, 650409.928606, 431481.008806, 211.880796, 0.013990, 0.013990, 0.030410, -0.431730, 0.957252, 174.069028, 0.007915, 0.007548, 0.015241, 0.008288, 0.007813, 0.010312, 0.999999
100_0154_0010.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650407.146295, 431457.164575, 211.913164, 650407.135940, 431457.173448, 211.887944, 0.014185, 0.014185, 0.030540, -0.490525, 0.991512, 174.354683, 0.007960, 0.007611, 0.014871, 0.007984, 0.007789, 0.009227, 0.999999
100_0154_0011.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650404.277900, 431433.081274, 211.939572, 650404.266153, 431433.091627, 211.917070, 0.014310, 0.014310, 0.030940, -0.509611, 1.020420, 174.579415, 0.007997, 0.007651, 0.015036, 0.007980, 0.007961, 0.009404, 0.999999
100_0154_0012.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650401.592784, 431409.462299, 211.896465, 650401.580190, 431409.472722, 211.871219, 0.013700, 0.013700, 0.030170, -0.543649, 1.034885, 174.487217, 0.007805, 0.007452, 0.014468, 0.007806, 0.007821, 0.008615, 0.999999
100_0154_0013.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650398.730001, 431385.225845, 211.908882, 650398.718778, 431385.236624, 211.894330, 0.014650, 0.014650, 0.030770, -0.550827, 1.023529, 174.257081, 0.008093, 0.007751, 0.014309, 0.007963, 0.007816, 0.008228, 0.999999
100_0154_0014.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650395.937045, 431361.484333, 211.896093, 650395.927040, 431361.494031, 211.888482, 0.015495, 0.015495, 0.031320, -0.518111, 1.079722, 174.621627, 0.008349, 0.008033, 0.014310, 0.008177, 0.007825, 0.008156, 0.999999
100_0154_0015.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650393.168800, 431337.429407, 211.925357, 650393.156086, 431337.439902, 211.900615, 0.009295, 0.009295, 0.017520, -0.453203, 1.069474, 174.750887, 0.006568, 0.006111, 0.012826, 0.008017, 0.007498, 0.008753, 0.999999
100_0154_0016.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650390.380108, 431313.731085, 211.922598, 650390.366822, 431313.740660, 211.901758, 0.011940, 0.011940, 0.022160, -0.442559, 1.044069, 174.581535, 0.007283, 0.006888, 0.013509, 0.008159, 0.007772, 0.009059, 0.999999
